CommonName,Latitude,Longitude,ObservationDate,ObservationCondition,TransfToRehab,DiedAtSite,FinddingsOfHI
"Seal, harbor",47.9042,-122.5277,2021-07-07,Moderate Decomposition,,,CBD
"Seal, harbor",47.3459,-122.8231,2021-07-07,Alive,Y,,CBD
"Seal, harbor",48.5946,-123.0901,2021-07-08,Alive,,,N
"Seal, harbor",47.2165,-122.6613,2021-07-08,Mummified/Skeletal,,,CBD
"Seal, harbor",47.9227361,-122.6879609,2021-07-09,Fresh Dead,,,CBD
"Seal, harbor",48.6712,-123.1799,2021-07-09,Alive,,,CBD
"Seal, harbor",47.3887,-122.813,2021-07-09,Fresh Dead,,,CBD
"Seal, harbor",47.3503,-122.5555,2021-07-09,Condition Unknown,,,CBD
"Seal, harbor",47.1414,-122.9044,2021-07-09,Alive,Y,,Y
"Seal, harbor",47.091,-122.899,2021-07-09,Fresh Dead,,,CBD
"Seal, harbor",47.2577,-122.4361,2021-07-10,Alive,,,CBD
"Seal, harbor",47.7237,-122.6397,2021-07-10,Alive,,,CBD
"Seal, harbor",47.1447,-122.8276,2021-07-10,Alive,,,CBD
"Seal, harbor",47.2914,-122.6868,2021-07-11,Moderate Decomposition,,,CBD
"Seal, harbor",48.5206,-122.5091,2021-07-12,Alive,Y,,CBD
"Seal, harbor",48.6754,-123,2021-07-12,Alive,,,N
"Seal, harbor",47.6162,-122.5148,2021-07-12,Fresh Dead,,,CBD
"Seal, harbor",47.3111,-122.7919,2021-07-12,Advanced Decomposition,,,CBD
"Seal, harbor",47.0815,-122.7206,2021-07-12,Fresh Dead,,,CBD
"Seal, harbor",48.080661,-122.887708,2021-07-13,Alive,Y,,CBD
"Seal, harbor",48.716854,-122.700593,2021-07-14,Moderate Decomposition,,,CBD
"Seal, harbor",48.7007,-123.0697,2021-07-14,Alive,,,N
"Seal, harbor",48.5498,-123.1633,2021-07-14,Alive,,,N
"Seal, harbor",48.533,-122.9731,2021-07-14,Alive,,,N
"Seal, harbor",47.3488,-122.556,2021-07-14,Moderate Decomposition,,,CBD
"Seal, harbor",48.678093,-122.50336,2021-07-15,Moderate Decomposition,,,CBD
"Seal, harbor",48.678093,-122.50336,2021-07-15,Moderate Decomposition,,,CBD
"Seal, harbor",48.0375,-124.6815,2021-07-15,Fresh Dead,,,CBD
"Seal, harbor",48.7484,-122.8424,2021-07-15,Alive,,,N
"Seal, harbor",48.125,-124.7104,2021-07-15,Moderate Decomposition,,,CBD
"Seal, harbor",47.5701,-123.0138,2021-07-15,Alive,Y,,Y
"Seal, harbor",47.133,-122.9059,2021-07-16,Advanced Decomposition,,,CBD
"Seal, harbor",45.751305,-122.485158,2021-07-17,Advanced Decomposition,,,CBD
"Seal, harbor",48.4572,-123.0146,2021-07-17,Alive,,,N
"Seal, harbor",48.5068,-123.0193,2021-07-17,Alive,,,N
"Seal, harbor",48.5458,-122.8541,2021-07-17,Moderate Decomposition,,,CBD
"Seal, harbor",48.431,-122.424,2021-07-18,Fresh Dead,,,CBD
"Seal, harbor",48.6458,-122.8716,2021-07-18,Moderate Decomposition,,,N
"Seal, harbor",47.2471,-122.5512,2021-07-18,Alive,,,Y
"Seal, harbor",47.3347,-122.6551,2021-07-18,Alive,,,N
"Seal, harbor",46.93,-124.1008,2021-07-18,Advanced Decomposition,,,CBD
"Seal, harbor",47.0411,-122.903,2021-07-18,Moderate Decomposition,,,CBD
"Seal, harbor",48.6889,-122.9596,2021-07-19,Alive,,,N
"Seal, harbor",47.5388,-122.39708,2021-07-19,Fresh Dead,,,Y
"Seal, harbor",46.993,-124.1723,2021-07-19,Alive,,,CBD
